id;user_id;name;phone_number;encrypted_password
1;a3ec6bea-365d-472d-a0e6-19dc6120f922;Human mobile Plastic;matrix Automotive;auxiliary connect
2;74544310-d2e1-45af-b478-4eaa0001803b;sensor;Producer Arkansas Bike;navigating Garden User-friendly
3;93b16bca-4c8e-4f10-9199-439648472950;Personal Loan Account;calculate;maroon Implemented Kansas
4;6578640d-18e2-4713-bd05-505cbde3cc66;content-based Bedfordshire;Handcrafted Cotton Chair Grocery;calculate
5;81337d48-94eb-4ccb-865e-e2400e59d789;Internal communities recontextualize;complexity;calculating bypassing
6;a7063a45-9610-41c2-a854-1420e89d79ca;bypassing Mission Fantastic;optical Czech Koruna;projection hard drive Awesome Concrete Sausages
7;b94b89d1-ac0f-471b-97a5-6030cba61495;bluetooth Savings Account turquoise;Auto Loan Account JSON white;Ohio enhance Estates
8;7be421b7-78d1-42cb-a8f2-f34d0acf9353;empower;black;FTP Keyboard
9;767e6e0d-492b-4517-9da4-5fb1f4dea3d0;Fresh aggregate;implementation index Wooden;deposit digital
10;5d5d7acf-a8f9-4d54-9b18-3fd4c8781785;transmitter;Unbranded;productize Ergonomic
